label	text
OFF	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away   or is it just selective freedoms? URL
OFF	@USER At this point in time I don t think Pres Trump gives a sh t and neither do I LOL URL
NOT	@USER @USER O K Conservatives get to the polls Vote red
OFF	@USER donnie jr you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic Shame on you and your family Justice will prevail
NOT	A Harvard Harris Poll conducted this year found that 48 percent of black Americans said they would like to see between only one and 250 000 legal immigrants brought to the U S a year URL #MAGA #tcot
NOT	@USER Any doubt that @USER have officially become The National Socialist American Workers Party is gone With ppl like those on @USER and @USER acting as Der Sturmer and #Antifa as their Einsatzgruppen Waffen SS detachment
OFF	@USER Oh my Carmen He is SO FRICKING CUTE
OFF	@USER Chelsea is as crazy as her mother
NOT	@USER It s time the #Conservatives #binnedBoris and sent lyin Lynton back to Australia
NOT	@USER @USER @USER The 2015 manifesto promised me my vote back So where is it? You think Brexit would have gone through if all the Brits in the EU27 had been allowed to vote? The referendum was gerrymandered
NOT	@USER THE METOO MOVEMENT MUST BE AN EXTENSION OF ANTIFA AND IS A COMPLETE JOKE IF THIS MOVEMENT WASN T SELECTIVE JOE BIDEN WOULD BE IN COURT FOR FONDING GIRLS ON CAMERA URL
NOT	@USER @USER you are awesome Thank you You give humanity hope
NOT	@USER GOOBER
NOT	@USER Another uninformed
NOT	@USER I forgot he is their foster child
OFF	@USER And the brainless #DEMS wants us to believe that he doesn t have the majority Liberals is just like their leaders the corrupts #Obama and #CrookedHillary both are real bad losers #MAGA #TRUMP
NOT	@USER No fucking way he said this
NOT	@USER @USER Such supposedly smart people didn t think for one moment that in the audience there are people who voted Trump and are scared shitless hearing the top brass speak that way
NOT	@USER I m not surprised It takes a sick woman to make this type of accusations The kind you can only find on the far left Liberals are praying that the really weak members of the GOP like Collins and Flake will pull back their support
OFF	@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms NRA had no problem with that gun control
NOT	@USER @USER @USER @USER @USER @USER @USER @USER @USER or where 25 Oct 2005 Brazil citizens overwhelming voted “No” on the government implementing strict gun control by a factor of 63 9  And the Brazilian government still violates that referendum everyday as Brazilians are murdered w zero effective method of self defense
NOT	If we claim to be without sin we deceive ourselves and the truth is not in us If we confess our sins he is faithful and just and will forgive us our sins and purify us from all unrighteousness 1 John 1:5-9)
OFF	@USER @USER And yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else But yet they want to have stronger gun control Idiots :face with raised eyebrow: Our wonderful media has to hype incidents that fits their agenda
OFF	@USER Yes do hurt your selves gun control freaks
NOT	@USER @USER @USER @USER @USER You get more like this guy with every hysterical tweet URL
NOT	@USER He always shows dedication at what he does no wonder he is the best URL
OFF	@USER @USER @USER Bullshit Regulations are good because it keeps conservatives from striping our land into the Abyss
OFF	@USER the owner of my culo
OFF	Now she scarred herself for life lol #MAGA URL
OFF	@USER you fucking -
OFF	Confirm the MAN THE LEFT WING ACTIVIST IS A LIAR WHO S STORY CHANGES NO HARD EVIDENCE #ChristineBlaseyFord Innocent until proven guilty #ConfirmKavanaugh #MAGA @USER #WeakRinos #Republicans
NOT	@USER Reagan also signed the first gun control bill as governor of CA
NOT	@USER Awe Hogwash do we really need you to overstate the obvious?
NOT	30 years as a JUDGE 6 Extensive backgrounds NOT a peep link to TRUMP BOOM Do conservatives only rape liberals??? URL
OFF	I m Assuming I m Not Going to Get an Answer : Brainless #Liberal Stooge Ocasio-Cortez @USER on $40T Policy Plan URL #WakeUpAmerica THIS is NOT America s future VOTE Republican or surrender America to these #DEM morons @USER #MAGA
NOT	1) This man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others 2) I m waiting for gun control advocates to add this to their list of school shootings 3) Who buys 22 caliber handguns? Why? URL
OFF	@USER @USER Leftists showing yet again how vile they can be
OFF	@USER He is a drunk crazy man
NOT	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER HONORED TO BE INCLUDED WITH ALL THESE FINE PATRIOTS THANK YOU RENA #MAGA :United States::grinning face::two hearts::United States: DEAN @USER URL
NOT	@USER Please shut up Ontario is seeing what conservatives stand for @USER is not helping you loose this province your never going anywhere Not they you will any way your completely out of tune with Canadian Mr Harper oops I mean Mr Scheer common mistake you so much alike
NOT	@USER You are not alone I was sexually assaulted by a fellow law student in 1978 I never reported it because I didn t think I would be believed However something happened that made me realize I wasn t his only victim Then I felt I d made a colossal mistake
NOT	@USER But Liberals do
NOT	@USER Another terrorist attack not reported by msm
NOT	@USER dont know who you are so imma just URL
OFF	@USER All that money hadn t made u smarter
NOT	@USER Yes He is from Gilmer It makes me laugh so much
NOT	@USER U both r my lifeline:red heart::folded hands::face with tears of joy: @USER
NOT	@USER Always thought H Ford was a level headed guy Guess not Note to Ford: climate change is summer-fall- winter-spring Happens every year Get over it
OFF	@USER Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown:winking face:
NOT	@USER @USER Unfortunately you re right Keep it real SHE is the assault weapon
NOT	@USER She is Real Rocky :fire::fire::fire: Oh My God
NOT	@USER Thank you to everyone for making this possible you are amazing and so are the beautiful bears I m a member of Olivers Army and I appreciate everything you do to make lives better
NOT	@USER “Yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for Emily but she guessed JJ wouldn’t profile her
OFF	@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities So go somewhere where it’s already a shit hole so you don’t have to do any work
NOT	@USER Yes she is
NOT	@USER @USER @USER He tried this before and it went nowhere He s 100  pro gun control Done
NOT	@USER @USER @USER @USER @USER He could have killed as many with a hunting rifle with the time and vantage he had He had close to an hour before police entered his room His actual shooting was over 10 min Making this about gun control is just going to get more people killed We need to be smarter
NOT	@USER @USER Aha yes I see that The individual sense of needing to belong to a winning team because of the constant conditioning of self-devaluation I see a strong sense of this on the Q side but on the left hillary antifa side as well regardless if they think they re winning or not
NOT	@USER @USER Oh no I know why that I just don t know what she is talking about because I don t see a tweet she is repling too lol
NOT	@USER And here we have another demonstration that gun free zones don’t work Brought to you by a liberal who more than likely supports stricter gun control
OFF	Shouldn t pussy grabbing @USER be the one wearing the gloves while handling food? #MAGA URL
NOT	@USER You have no plan for the environment Even conservatives should be able to understand that you have to be able to live on the planet to make money there
NOT	@USER @USER This is what happens when you tell white liberals that they don t get to congratulate themselves on how woke they are until they put their money where their mouth is That simple fact of life breaks their brains
OFF	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa doesn t beat facsists to try to get them to change their mind - they know it s a lost cause to try to change a fascist s mind They do it to scare them into hiding to demoralize them and to stop the spread of their hateful ideology There is no forcing views on others
NOT	@USER @USER SOROS is at the root of everything and anything anti American He has his money in Hollywood all the way to Islam and ANTIFA to illegals URL
OFF	#FireMorningJoe he is cut from the same cloth as all other conservatives His misogyny and bigotry are always on display He is responsible for Trump URL
OFF	@USER @USER Truly has got to be the most idiotic thing I ve ever seen
NOT	@USER @USER Brigitte Gabriel has experienced a life that most would have nightmares from She is sounding the alarm for Americans Buy her book pay attention to what she is warning America about
OFF	@USER @USER @USER @USER @USER @USER @USER @USER @USER It does work If you want to control a population Australian gun control had no effect on homicides
NOT	@USER @USER Poor baby
NOT	@USER @USER @USER @USER Antifa = Democrats = Dixiecrats = KKK URL URL
OFF	@USER @USER Liberals ruin everything
NOT	@USER @USER @USER And don t forget his telling a primarily black liberal audience conservatives want to put them back in chains
NOT	@USER Sad for both To be exploited and also to have a reputation destroyed Now I’ve read she’s part of Antifa ????
OFF	@USER That s what happens when you let a liberal get a hold of a gun That would be a good place to start gun control Ban liberals from getting guns
OFF	@USER @USER You look happy MAGA
NOT	@USER @USER @USER Trump proposes racial profiling as a tactic to start thinking about URL
NOT	@USER Introducing my sweet sweet baby king He is always sooo nice And when I try to sit on the sofa he NEVER attacks me URL
NOT	@USER @USER @USER There all gone tho and Inputed them from bottom to top with the first 20seconds of your tweet You good 1 Tmart :thumbs up light skin tone:
NOT	@USER @USER Exactly He is on record basically saying the President is above the law It should be noted that the #gop is fine with this Rudy has his own issues URL
NOT	#KamalaHarris The New Dem Emperor with No Clothes Taxpayers Funded ‘Unprecedented’ Armed Protection for Gun Control Sen Kamala Harris URL via @USER
OFF	@USER Yet she is fat herself
NOT	@USER @USER There was plenty of evidence that he was guilty of what Hill accused him of but since conf hearings aren t about guilty innocence got on the bench Times are diff now Why as a journalist you don t call out white supremacy alt-right but Antifa and pick on @USER
NOT	@USER @USER You don’t understand who he is and is capablities Despite the proof in the economy My hypothesis is that you have been lied to by liberals your entire life and are believing what you are told The liberal media made bill Clinton look good and could do the same with trump
NOT	oath must be subpoenaed to testify There is a lifetime appointment at stake here Please do it right this time  amp; do not allow Orrin Hatch who has already made up his mind she is lying be allowed to question her His kind of questions could invite a lawsuit
NOT	@USER @USER Y’all are the best
OFF	@USER @USER @USER What a joke She is a Gem alright She is a Racist phony Right along with this Racist Phony That thinks she will follow me from her second account And block me Because I speak the truth I could care less about follower s Like it s a big party I care that they discriminate URL
NOT	@USER Indeed he is
NOT	@USER @USER @USER Because i m a little concerned about the Q followers because they slowly become more and more a sort of right wing sjw antifa thingie Also excuse me for my horrible English it s not my native languase and didn t had much schooling in it so i m sorry if it sucks :grinning face with sweat:)
NOT	@USER Yep Antifa are literally Hitler
NOT	@USER Wow you are so hot :smiling face with heart-eyes::smiling face with heart-eyes::smiling face with heart-eyes::smiling face with heart-eyes::kissing face::kissing face::kissing face::kissing face::kissing face:
NOT	@USER she is the most deserving woman to be happy
NOT	@USER @USER @USER @USER I ve noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter
OFF	@USER @USER @USER May be you have forgotten that at the moment we are EU citizens and so all rights afforded to us are the same as for other EU citizens Don’t believe all the shit that goes on in your head
NOT	@USER @USER That s just modelling Plenty of women make shit tons of money just for looking good
NOT	Just watching a Horizon show about scientists that discovered a DNA mix between humans and Neanderthals Would have thought Trump getting elected would have been proof enough #MAGA
NOT	@USER @USER I hope there is a way to watch it on TV Ted spanking liberals is always enjoyable
OFF	@USER @USER Just looked up his work History he is listed on the Board of Leading Age Services Aust LASA) and comes from Medicare Local Alliance what ever the hell that is
NOT	@USER He should look in a mirror
NOT	@USER I’m sure he is :purple heart:
NOT	@USER @USER Send him this @USER party #manifesto where they promised they will help families maybe that will remind him his duties #HostileEnvironment #PriceOnLove #SkypeFamilies @USER @USER @USER URL
NOT	@USER @USER @USER @USER Families being separated at the border In fact the picture of children in cages that Liberals were using to show how evil Trump is was actually taken while OBAMA was President
NOT	@USER @USER But antifa is her people
NOT	@USER @USER We had a Peoples Vote on 23 June 2016 The people rejected the craven @USER worship which you stand for - by a majority of over 1m You’re contemptuously defying the will of the people  amp; @USER 2017 GE manifesto  amp; supporting Soros in undermining democracy instead
OFF	@USER Cause who bitches be playing with :loudly crying face::loudly crying face::loudly crying face::loudly crying face: god aint give me the gift for nothing
NOT	@USER she is free as a bird to return to her Muslim homeland
NOT	mom speaks into her phone to compose a text for my brother she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling :woman facepalming light skin tone:
NOT	@USER @USER Melting snow flakes
NOT	@USER Who’s the victim? That remains to be seen Liberals have turned Kavanaughs hearings into a circus from the first minute it started
OFF	@USER Coming from the man that threatened to try and kick Turmps ass now don t that take a set of ball s
NOT	@USER @USER You re shocked to hear that liberals want to centralize power at the federal level?
